topic_numbers,passes,Perplexity
2.0,1,5677.883189414827
2.0,2,5616.578681365449
2.0,3,5443.613795236686
2.0,4,5221.052441131854
2.0,5,4991.4088555667495
2.0,6,4775.221607329028
2.0,7,4580.580278038571
2.0,8,4410.607848561783
2.0,9,4265.6318124827885
2.0,10,4144.00794325625
2.0,11,4042.8368193987185
2.0,12,3958.958766335017
2.0,13,3889.7110673637158
2.0,14,3832.0686971907594
2.0,15,3784.052399351232
2.0,16,3743.7939778552204
2.0,17,3709.4409095269934
2.0,18,3680.1545849968265
2.0,19,3654.7840493504527
2.0,20,3632.6877076005558
2.0,21,3613.230567173873
2.0,22,3596.006317354019
2.0,23,3580.715636387897
2.0,24,3566.874138400579
2.0,25,3554.441771433858
2.0,26,3543.0046861544974
2.0,27,3532.6384685859384
2.0,28,3523.0949219340705
2.0,29,3514.156101564913
2.0,30,3505.8572223149386
2.0,31,3497.998646085039
2.0,32,3490.7409975276096
2.0,33,3483.8286087795977
2.0,34,3477.1943257887015
2.0,35,3470.959159199659
2.0,36,3465.0346637515313
2.0,37,3459.339724219056
2.0,38,3453.916514731152
2.0,39,3448.7500203802238
2.0,40,3443.8054067719154
2.0,41,3439.0734678448866
2.0,42,3434.5339606138027
2.0,43,3430.166337951047
2.0,44,3425.8650969006935
2.0,45,3421.7112438333616
2.0,46,3417.810663354436
2.0,47,3414.060496737098
2.0,48,3410.389299632081
2.0,49,3406.7822149721146
2.0,50,3403.4147874394926
3.0,1,15508.38009768874
3.0,2,15487.146652884288
3.0,3,15245.897590799339
3.0,4,14872.21970569722
3.0,5,14419.873649658244
3.0,6,13916.4225548831
3.0,7,13375.628299648557
3.0,8,12807.927573111685
3.0,9,12220.05872398582
3.0,10,11629.93886509959
3.0,11,11058.762694933812
3.0,12,10514.089335180353
3.0,13,10007.377901528418
3.0,14,9541.098135899781
3.0,15,9118.512459736916
3.0,16,8736.711979343747
3.0,17,8392.326040050179
3.0,18,8082.157050931974
3.0,19,7802.718092347197
3.0,20,7553.0140895327195
3.0,21,7329.997311434219
3.0,22,7130.783277330616
3.0,23,6953.091322193686
3.0,24,6794.253076443268
3.0,25,6651.121847435256
3.0,26,6521.2455922389645
3.0,27,6403.160757029245
3.0,28,6295.717449807865
3.0,29,6197.896741566117
3.0,30,6108.207230220893
3.0,31,6025.554038335823
3.0,32,5949.326237962671
3.0,33,5879.147580216761
3.0,34,5814.32018602043
3.0,35,5754.571334091078
3.0,36,5698.922856788712
3.0,37,5647.379232424132
3.0,38,5599.29565170189
3.0,39,5554.303460106895
3.0,40,5512.5802287722145
3.0,41,5473.401968350322
3.0,42,5436.71986767101
3.0,43,5402.331388233622
3.0,44,5370.065146090443
3.0,45,5339.731865136328
3.0,46,5311.3964871930075
3.0,47,5284.587135396107
3.0,48,5259.221238877637
3.0,49,5235.2615737913975
3.0,50,5212.445684518101
4.0,1,43348.40987561358
4.0,2,43052.353940651825
4.0,3,42335.97290846491
4.0,4,41457.759956338836
4.0,5,40308.74318195776
4.0,6,38859.434099713464
4.0,7,37104.3203532301
4.0,8,35127.75412155216
4.0,9,32990.583723069634
4.0,10,30741.33610708634
4.0,11,28494.75284265024
4.0,12,26351.77055785975
4.0,13,24400.170312337614
4.0,14,22639.481941232032
4.0,15,21076.008105834648
4.0,16,19698.5216518922
4.0,17,18510.11698200928
4.0,18,17488.687866016593
4.0,19,16601.614795033074
4.0,20,15837.537296638051
4.0,21,15178.358269935092
4.0,22,14605.090688409022
4.0,23,14103.3378458748
4.0,24,13663.620814138894
4.0,25,13273.96922721328
4.0,26,12930.173107228271
4.0,27,12626.05849691749
4.0,28,12352.336914730899
4.0,29,12106.374689985087
4.0,30,11883.511994891753
4.0,31,11679.483583033287
4.0,32,11491.295199078304
4.0,33,11315.908399972206
4.0,34,11149.88958043638
4.0,35,10994.348918925069
4.0,36,10847.595446035493
4.0,37,10708.728065330324
4.0,38,10575.919929721842
4.0,39,10448.878802110634
4.0,40,10326.542252759647
4.0,41,10208.857448566223
4.0,42,10095.355490702026
4.0,43,9983.410973345439
4.0,44,9874.378935815084
4.0,45,9768.064918065813
4.0,46,9663.329954856259
4.0,47,9560.053253431865
4.0,48,9459.664026746117
4.0,49,9361.100745248455
4.0,50,9264.08260695312
5.0,1,115426.92546348985
5.0,2,111652.67887599848
5.0,3,107144.67101806217
5.0,4,102525.57197963902
5.0,5,97240.36038911554
5.0,6,91609.98210748775
5.0,7,85769.91174009713
5.0,8,80037.19794012986
5.0,9,74395.77244849355
5.0,10,69071.51702968898
5.0,11,64252.46150112301
5.0,12,59944.924820167806
5.0,13,56178.77260433696
5.0,14,52976.356267030715
5.0,15,50250.071556816656
5.0,16,47891.13730899728
5.0,17,45908.73796660939
5.0,18,44181.718854636776
5.0,19,42631.12389963085
5.0,20,41300.783420976644
5.0,21,40090.778666659724
